Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final
2008,Roger Federer,2,SUI,Andy Murray,6,GBR,"6–2, 7–5, 6–2"
2009,Juan Martin del Potro,6,ARG,Roger Federer,1,SUI,"3–6, 7–6(7–5), 4–6, 7–6(7–4), 6–2"
2010,Rafael Nadal,1,ESP,Novak Djokovic,3,SRB,"6–4, 5–7, 6–4, 6–2"
2011,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6–2, 6–4, 6–7(3–7), 6–1"
2012,Andy Murray,3,GBR,Novak Djokovic,2,SRB,"7–6(12–10), 7–5, 2–6, 3–6, 6–2"
2013,Rafael Nadal,2,ESP,Novak Djokovic,1,SRB,"6–2, 3–6, 6–4, 6–1"
2014,Marin Čilić,14,CRO,Kei Nishikori,10,JPN,"6–3, 6–3, 6–3"
2015,Novak Djokovic,1,SRB,Roger Federer,2,SUI,"6–4, 5–7, 6–4, 6–4"
2016,Stan Wawrinka,3,SUI,Novak Djokovic,1,SRB,"6–7(1–7), 6–4, 7–5, 6–3"
2017,Rafael Nadal,1,ESP,Kevin Anderson,28,RSA,"6–3, 6–3, 6–4"
2018,Novak Djokovic,6,SRB,Juan Martin del Potro,3,ARG,"6-3,7-6(7-4), 6-3"
2019,Rafael Nadal,2,ESP,Daniil Medvedev,5,RUS,"7-5, 6-3, 5-7, 4-6, 6-4"
2020,Dominic Thiem,2,AUT,Alexander Zverev,5,GER,"2-6, 4-6, 6-4, 6-3, 7-6(8-6)"
1968,Virginia Wade,6,GBR,Billie Jean King,1,USA,"6–4, 6–2"
1969,Margaret Court,2,AUS,Nancy Richey,6,USA,"6–2, 6–2"
1970,Margaret Court,1,AUS,Rosemary Casals,2,USA,"6–2, 2–6, 6–1"
1971,Billie Jean King,1,USA,Rosemary Casals,2,USA,"6–4, 7–6"
1972,Billie Jean King,1,USA,Kerry Melville Reid,9,AUS,"6–3, 7–5"
1973,Margaret Court,1,AUS,Evonne Goolagong Cawley,4,AUS,"7–6, 5–7, 6–2"
1974,Billie Jean King,2,USA,Evonne Goolagong Cawley,5,AUS,"3–6, 6–3, 7–5"
1975,Chris Evert,1,USA,Evonne Goolagong Cawley,4,AUS,"5–7, 6–4, 6–2"
1976,Chris Evert,1,USA,Evonne Goolagong Cawley,2,AUS,"6–3, 6–0"
1977,Chris Evert,1,USA,Wendy Turnbull,12,AUS,"7–6, 6–2"
1978,Chris Evert,1,USA,Pam Shriver,16,USA,"7–5, 6–4"
1979,Tracy Austin,3,USA,Chris Evert,1,USA,"6–4, 6–3"
1980,Chris Evert,3,USA,Hana Mandlíková,9,TCH,"5–7, 6–1, 6–1"
1981,Tracy Austin,3,USA,Martina Navratilova,4,USA,"1–6, 7–6(7–4), 7–6(7–1)"
1982,Chris Evert,2,USA,Hana Mandlíková,5,TCH,"6–3, 6–1"
1983,Martina Navratilova,1,USA,Chris Evert,2,USA,"6–1, 6–3"
1984,Martina Navratilova,1,USA,Chris Evert,2,USA,"4–6, 6–4, 6–4"
1985,Hana Mandlíková,3,TCH,Martina Navratilova,2,USA,"7–6(7–3), 1–6, 7–6(7–2)"
1986,Martina Navratilova,1,USA,Helena Suková,7,TCH,"6–3, 6–2"
1987,Martina Navratilova,2,USA,Steffi Graf,1,FRG,"7–6(7–4), 6–1"
1988,Steffi Graf,1,FRG,Gabriela Sabatini,5,ARG,"6–3, 3–6, 6–1"
1989,Steffi Graf,1,FRG,Martina Navratilova,2,USA,"3–6, 7–5, 6–1"
1990,Gabriela Sabatini,5,ARG,Steffi Graf,1, FRG,"6–2, 7–6(7–4)"
1991,Monica Seles,2,YUG,Martina Navratilova,6,USA,"7–6(7–1), 6–1"
1992,Monica Seles,1,YUG,Arantxa Sánchez Vicario,5,ESP,"6–3, 6–3"
1993,Steffi Graf,1,GER,Helena Suková,12,CZE,"6–3, 6–3"
1994,Arantxa Sánchez Vicario,2,ESP,Steffi Graf,1,GER,"1–6, 7–6(7–3), 6–4"
1995,Steffi Graf,1,GER,Monica Seles,2,USA,"7–6(8-6), 0–6, 6–3"
1996,Steffi Graf,1,GER,Monica Seles,2,USA,"7–5, 6–4"
1997,Martina Hingis,1,SUI,Venus Williams,0,USA,"6–0, 6–4"
1998,Lindsay Davenport,2,USA,Martina Hingis,1,SUI,"6–3, 7–5"
1999,Serena Williams,7,USA,Martina Hingis,1,SUI,"6–3, 7–6(7–4)"
2000,Venus Williams,3,USA,Lindsay Davenport,2,USA,"6–4, 7–5"
2001,Venus Williams,4,USA,Serena Williams,10,USA,"6–2, 6–4"
2002,Serena Williams,1,USA,Venus Williams,2,USA,"6–4, 6–3"
2003,Justine Henin,2,BEL,Kim Clijsters,1,BEL,"7–5, 6–1"
2004,Svetlana Kuznetsova,9,RUS,Elena Dementieva,6,RUS,"6–3, 7–5"
2005,Kim Clijsters,4,BEL,Mary Pierce,12,FRA,"6–3, 6–1"
2006,Maria Sharapova,3,RUS,Justine Henin,2,BEL,"6–4, 6–4"
2007,Justine Henin,1,BEL,Svetlana Kuznetsova,4,RUS,"6–1, 6–3"
2008,Serena Williams,4,USA,Jelena Janković,2,SRB,"6–4, 7–5"
2009,Kim Clijsters,999,BEL,Caroline Wozniacki,9,DEN,"7–5, 6–3"
2010,Kim Clijsters,2,BEL,Vera Zvonareva,7,RUS,"6–2, 6–1"
2011,Samantha Stosur,9,AUS,Serena Williams,28,USA,"6–2, 6–3"
2012,Serena Williams,4,USA,Victoria Azarenka,1,BLR,"6–2, 2–6, 7–5"
2013,Serena Williams,1,USA,Victoria Azarenka,2,BLR,"7–5, 6–7(6–8), 6–1"
2014,Serena Williams,1,USA,Caroline Wozniacki,10,DEN,"6–3, 6–3"
2015,Flavia Pennetta,26,ITA,Roberta Vinci,0,ITA,"7–6(7–4), 6–2"
2016,Angelique Kerber,2,GER,Karolína Plíšková,10,CZE,"6–3, 4–6, 6–4"
2017,Sloane Stephens,888,USA,Madison Keys,15,USA,"6–3, 6–0"
2018,Naomi Osaka,20,JPN,Serena Williams,17,USA,"6-2, 6-4"
2019,Bianca Andreescu,15,CAN,Serena Williams,8,USA,"6-3, 7-5"
2020,Naomi Osaka,4,JPN,Victoria Azarenka,0,BLR,"1-6, 6-3, 6-3"
