ID,FIRST,LAST,HAND,BIRTHDATE,COUNTRY
100114,Ray,Ruffels,R,19460323,AUS
100288,Tenny,Svensson,R,19520921,SWE
100324,John,Whitlinger,R,19540204,USA
100178,Bob,Giltinan,R,19490407,AUS
100461,Billy,Martin,R,19561225,USA
107264,Jaidip,Mukherjea,R,,IND
100075,Owen,Davidson,L,19431004,AUS
100377,Colin,Dowdeswell,R,19550512,GBR
100208,Dick R,Bohrnstedt,R,19500428,USA
100122,Julian,Ganzabal,R,19460825,ARG
100216,Charles,Owens,R,19500731,USA
100289,Byron,Bertram,R,19521029,RSA
100170,Bernard,Mignot,R,19481203,BEL
100017,Mal,Anderson,R,19350303,AUS
100201,Syd,Ball,R,19500124,AUS
107309,Jean Loup,Rouyer,R,,FRA
100040,Bob,Hewitt,R,19400112,RSA
100360,Brian,Teacher,R,19541223,USA
100301,Jim,Delaney,R,19530312,USA
108343,Taghi,Akbari,R,,IRI
100101,Mike,Belkin,R,19450629,CAN
100033,Wilhelm,Bungert,R,19390401,GER
106968,Eugenio,Castigliano,R,,ITA
108407,Tom,Christensen,R,,DEN
106619,Bertalan,Csoknyai,R,,HUN
107034,Frank,Falderbaum,R,,GER
100068,Herb,Fitzgibbon,R,19420714,USA
100298,George,Hardie,L,19530219,USA
100036,Rudy,Hernando,R,19390610,USA
107275,Jan,Hordijk,R,,NED
108184,Ruby,Hoskowetz,R,19461012,AUT
108360,Teimuraz,Kakoulia,R,,RUS
108350,Takeshi,Koura,R,,JPN
100752,Ramesh,Krishnan,R,19610605,IND
100265,Cliff,Letcher,R,19520209,AUS
100226,Mike,Machette,R,19510127,USA
100004,Giuseppe,Merlo,R,19271011,ITA
106456,Akshai,Misra,R,,IND
100354,Bernard,Mitton,R,19541109,RSA
100276,Terry,Moor,L,19520423,USA
107917,Pancho,Musalem,R,,CHI
108421,Toma,Ovici,R,,ROU
100325,Ulrich,Pinner,R,19540207,GER
108249,Shamil,Tarpischev,R,,RUS
106517,Anatoli,Volkov,R,,RUS
100277,Jacques,Thamin,R,19520523,FRA
100317,Stephen,Warboys,R,19531025,GBR
106594,Attila,Korpas,R,,GER
106629,Birger,Andersson,R,,SWE
100111,Ray,Keldie,R,19460117,AUS
100104,D Richard,Russell,R,19450908,JAM
106971,Ezio,Di Matteo,R,,ITA
100332,Balazs,Taroczy,R,19540509,HUN
107453,Juan,Couder,R,,ESP
100331,Jean Louis,Haillet,R,19540507,FRA
100123,Patrick,Hombergen,R,19460908,BEL
100304,Robert,Kreiss,R,19530430,USA
108477,Vincenzo,Franchitti,R,,ITA
107456,Juan,Herrera,R,,ESP
107284,Janos,Benyik,R,,HUN
108131,Roberto,Chavez,R,,MEX
100278,Frank,Gebert,R,19520611,GER
100175,Zan,Guerry,R,19490212,USA
100099,Thomaz,Koch,L,19450511,BRA
100359,Richard,Lewis,L,19541206,GBR
100020,Alejandro,Olmedo,R,19360324,PER
100367,Belus,Prajoux,R,19550227,CHI
100032,Patricio,Rodriguez CHI,R,19381220,CHI
108012,Piero,Toci,R,,ITA
100150,Lito,Alvarez,R,19471205,ARG
100107,Robert,Rheinberger,R,19451118,AUS
100251,Grover Raz,Reid,R,19510827,USA
100095,Tony,Bardsley,R,19450209,CAN
107429,Jose,Castanon,R,,ESP
100345,Pat,Dupre,R,19540916,USA
100070,Jan,Kukal,R,19420913,CZE
100109,Jun,Kuki,R,19451228,JPN
100262,Rolf,Norberg,R,19520131,SWE
100069,Dennis,Ralston,R,19420727,USA
100063,William,Higgins,R,19420402,USA
100152,David,Lloyd,R,19480103,GBR
100009,Istvan,Gulyas,R,19311014,HUN
100339,Victor,Amaya,L,19540702,USA
100093,William,Brown,R,19450114,USA
100239,Hans,Engert,R,19510422,GER
100206,Kenichi,Hirai,R,19500319,JPN
107518,Kiyoski,Tanabe,R,,JPN
100234,Allan,Mcdonald,R,19510301,AUS
100274,Eric,Deblicker,R,19520417,FRA
102312,Jairo,Velasco Jr,R,19740121,ESP
100136,Humphrey,Hose,R,19470504,VEN
106996,Felix,Ponte,R,,PER
100212,Franklin,Robbins,R,19500613,USA
100243,Steve,Krulevitz,R,19510530,USA
100168,Kenneth,Mcmillan,R,19481125,USA
100100,Tony,Roche,L,19450517,AUS
100171,John,Yuill,R,19481212,RSA
100263,John,Andrews,R,19520205,USA
100085,Hans Jaochim,Plotz,R,19440226,GER
100280,Wojtek,Fibak,R,19520803,POL
100082,Roger,Dowdeswell,R,19440216,ZIM
100305,Mark,Farrell,R,19530506,GBR
100238,Rick,Fisher,R,19510329,USA
100024,Jan Eric,Lundquist,R,19370414,SWE
100191,Doug,Crawford,R,19491015,USA
100279,Mike,Cahill,R,19520617,USA
100247,Rolf,Thung,L,19510727,NED
100271,Jean Francois,Caujolle,L,19520331,FRA
100132,Armistead,Neely,R,19470319,USA
100155,Ramiro,Benavides,R,19480130,BOL
100151,Karl,Coombes,R,19471217,AUS
100267,Rayno,Seegers,R,19520229,RSA
100028,Manuel,Santana,R,19380510,ESP
100372,Trey,Waltke,R,19550316,USA
100190,Norman,Holmes,R,19491005,USA
107488,Keith,Hancock,R,,AUS
100233,Ricardo,Cano,R,19510226,ARG
100079,Bill,Bowrey,R,19431225,AUS
100395,Victor,Pecci,R,19551015,PAR
100281,Sashi,Menon,R,19520809,IND
107277,Jan,Pisecky,R,,CZE
100456,Ferdi,Taygan,R,19561205,USA
100258,Jorge,Andrew,R,19511102,VEN
100188,John,Fort,R,19490928,USA
100545,Deon,Joubert,L,19580619,RSA
100013,Neale,Fraser,L,19331003,AUS
100299,James Chico,Hagey,R,19530225,USA
100303,Henry,Bunis,R,19530327,USA
100334,Ernie,Ewert,R,19540605,AUS
100124,Steve,Turner,R,19461017,USA
108567,Yuji,Tezuka,R,,JPN
107123,Graeme,Thomson,R,,AUS
106867,Derek,Schroder,R,,RSA
108525,William,Durham,R,,AUS
100034,Christian,Kuhnke,R,19390413,GER
107425,Jose,Moreno,R,,ESP
100268,Denis,Naegelen,R,19520314,FRA
100222,Mike,Powers,R,19500924,USA
100211,Louk,Sanders,R,19500509,NED
100031,Dimitri,Sturdza,R,19381110,SUI
100187,Luis Felipe,Tavares,R,19490926,BRA
100221,Carlos,Kirmayr,R,19500923,BRA
100312,Chiraid,Mukherjea,R,19530814,IND
107811,Mike,Lynch,R,,AUS
100436,Nick,Saviano,L,19560605,USA
100071,Jean Claude,Barclay,R,19421230,FRA
100044,Sergei,Likhachev,R,19400320,RUS
107457,Juan Ignacio,Muntanola,R,,ESP
100094,Jim,Osborne,R,19450201,USA
106899,Douglas,Palm,R,,SWE
107092,Geza,Varga,R,,HUN
107082,Gerard,Wimmer,R,19530301,AUT
100469,Ashok,Amritraj,R,19570222,IND
100403,Rolf,Gehring,R,19551125,GER
107302,Jay,Royappa,R,,IND
107385,John,Holladay,R,,USA
106452,Akifumi,Machidori,R,,JPN
107823,Mitsuru,Motoi,R,,JPN
107026,Francisco,Mastelli,R,,ARG
100202,George,Amaya,L,19500212,USA
108374,Thierry,Bernasconi,R,,FRA
108198,Salvador,Cabeza,R,,ESP
100210,Steve,Docherty,R,19500506,AUS
100165,Steve,Siegel,R,19480904,USA
107281,Jan,Zabrodsky,R,,SWE
107968,Per,Hegna,R,,NOR
100236,John,James,R,19510307,AUS
108017,Pierre,Joly,R,,FRA
108192,Sachio,Kato,R,,JPN
106677,Bun Ichi,Kim,R,,JPN
106964,Ernie,Mccabe,R,,AUS
107912,P,Meyers,R,,AUS
106455,Akira,Motomura,R,,JPN
108575,Zdrabko,Mencek,R,,CZE
100333,Shigeyuki,Nishio,R,19540523,JPN
100197,Alejandro,Pierola,R,19491120,CHI
107993,Peter,Pokorny,R,,AUT
100157,Stanley,Pasarell,R,19480211,USA
100194,Larry,Parker,R,19491023,USA
108036,Rafael,Ruiz,R,,ESP
108253,Shinichi,Sakamoto,R,,JPN
100240,Joao,Soares,R,19510425,BRA
100053,Colin,Stubs,R,19410227,AUS
108275,Spencer,Segura,R,,USA
107965,Pekka,Saila,R,,FIN
107704,Mark,Shires,R,,USA
107744,Matti,Timonen,R,,FIN
100181,Larry,Turville,R,19490604,USA
100306,Michael,Wayman,R,19530506,GBR
100059,Isao,Watanabe,R,19411123,JPN
100052,Keishiro,Yanagi,R,19410224,JPN
100077,Daniel,Contet,R,19431103,FRA
107895,Orlando,Agudelo,R,,COL
106613,Bengt,Aberg,R,,SWE
100198,Alvaro,Betancur,R,19500103,COL
100859,Robert,Casey C100,R,19620916,AUS
107730,Matias,Carlstein,R,,SWE
108519,William,Coghlan,R,,AUS
108453,Ulf,Eriksson,R,,SWE
107436,Jose,Guerrero,R,,ESP
108021,Pietro,Marzano,R,,ITA
100153,Patrice,Hagelauer,R,19480105,FRA
107830,Munawar,Iqbal,R,,PAK
100382,Chris,Kachel,R,19550619,AUS
100195,Nicolas,Kelaidis,R,19491029,GRE
108193,Sadao,Kosugi,R,,JPN
100422,Bruce,Manson,L,19560320,USA
107311,Jean Paul,Meyer,R,,FRA
100413,Ulrich,Marten,R,19560101,GER
100390,Trevor,Allan,L,19550817,AUS
107825,Mohammad Hossein,Akbari,R,,IRI
100250,Woody,Blocher,R,19510824,USA
106611,Ben,Bishop,R,,USA
107591,Luis,Bruguera,R,,ESP
106682,Carey,Brading,R,,USA
107074,George,Berner,R,,FIN
106657,Brant,Bailey,R,,USA
106583,Armando,Cornejo,R,,CHI
100112,John,Clifton,R,19460219,GBR
108503,Wayne,Cowley,R,,AUS
106910,Eddie,Cruz,R,,PHI
100225,Peter,Doerner,R,19501117,AUS
108430,Tony,Dawson,R,,AUS
100184,Lars,Elvstrom,R,19490818,DEN
100344,Eric,Friedler,R,19540908,USA
107455,Juan,Hernandez,R,,MEX
106562,Anthony,Hammond,R,,AUS
107981,Peter,Hampton,R,,NZL
108085,Richard,Hawkes,R,,NZL
107898,Osamu,Ishiguro,R,,JPN
107969,Per,Jemsby,R,,SWE
100541,Jan,Kallquist,R,19580531,SWE
107810,Mike,Kreiss,R,,USA
100474,Chris,Lewis NZL,R,19570309,NZL
107985,Peter,Langsford,R,,AUS
108446,Trevor,Little,R,,AUS
100356,Paul,Mcnamee,R,19541112,AUS
108314,Steve,Messmer,R,,USA
107068,Gavorielle,Marcu,R,,ROU
106468,Alberto,Martorell,R,,ESP
106491,Alexander,Marcial,R,,PHI
108194,Saeed,Meer,R,,PAK
106859,Dean,Martin Jr,R,,USA
100042,Ryoichi,Mori,R,19400114,JPN
108303,Stephen,Meyers,R,,AUS
108434,Tony,Parun P071,R,,NZL
107780,Michael,Phillips,R,,AUS
107759,Max,Pettman,R,,AUS
108172,Romeo,Rafon,R,,PHI
108379,Thies,Roepcke,R,,GER
100326,Russell,Simpson,R,19540222,NZL
100364,Jonathan,Smith,R,19550129,GBR
100003,Frank,Sedgman,R,19271002,AUS
107760,Max,Senior,R,,AUS
108052,Rauty,Krog,R,,RSA
100256,Luis,Baraldi,R,19511021,MEX
100336,Guillermo,Aubone,L,19540608,ARG
100396,Martin,Robinson,L,19551019,GBR
100362,Peter,Fleming,R,19550121,USA
100428,Gene,Mayer,R,19560411,USA
100227,Alvin,Gardiner,R,19510211,AUS
100177,Pavel,Hutka,R,19490228,CZE
100252,Tim,Gullikson,R,19510908,USA
100048,Earl Butch,Buchholz,R,19400916,USA
100358,Mike,Fishbach,R,19541201,USA
100394,Angel,Gimenez,R,19551010,ESP
100383,Peter,Mcnamara,R,19550705,AUS
100287,Robin,Drysdale,R,19520918,GBR
100533,Paul,Avis,R,19580414,RSA
100337,Mark,Edmondson,R,19540624,AUS
100411,Pavel,Slozil,R,19551229,CZE
108415,Tom,Kreiss,R,,USA
107217,Ian,Crookenden,R,,NZL
107001,Fernando,Gentil,R,,BRA
106510,Aly,El Dawoudi,R,,EGY
107255,Jacek,Niedzwiedzki,R,,POL
100237,Bill,Freer,R,19510309,RSA
100444,Werner,Zirngibl,R,19560904,GER
100204,Pancho,Walthall,R,19500216,USA
100103,Peter,Curtis,R,19450829,GBR
100431,Mansour,Bahrami,R,19560426,IRI
100363,Jiri,Granat,R,19550128,CZE
100315,Hank,Pfister,R,19531009,USA
106561,Anthony,Fawcett,R,,RSA
100378,David,Schneider,R,19550517,USA
100320,Mark,Meyers,R,19531205,USA
100634,Larry,Gottfried,R,19591208,USA
100357,Bhanu,Nunna,R,19541113,IND
100302,Joaquim,Rasgado Jr,R,19530324,BRA
100292,Alvaro,Fillol,R,19521204,CHI
107342,Jim,Moore,R,,AUS
107144,Gregor,Paul,R,,GER
108418,Tom,Mott,R,,USA
100585,Van,Winitsky,L,19590312,USA
106614,Bengt,Lundstedt,R,,SWE
106900,Dragan,Savic,R,,YUG
106901,Dragan,Stojovic,R,,YUG
100327,Willem,Prinsloo,R,19540225,RSA
107654,Marco,Consolini,R,,ITA
100046,Larry,Nagler,R,19400701,USA
100479,Reinhart,Probst,R,19570417,GER
107353,Joe,Bouquin,R,,USA
107768,Michael,Burgener,R,19490601,SUI
108154,Roger,Mckee,R,,USA
100143,Peter,Fishbach,R,19470829,USA
100319,Rick,Fagel,R,19531129,USA
107755,Mauricio,Silva,R,,BRA
106702,Carlos,Lando,R,,ARG
106630,Bjorn,Wahlstrom,R,,SWE
100506,Howard,Schoenfield,R,19571115,USA
107301,Jay,Harvey,R,,AUS
100417,Hans,Gildemeister,R,19560209,CHI
100402,Francisco,Gonzalez,R,19551119,PAR
107761,Max,Wunschig,R,,GER
107381,John,Eagleton,R,,RSA
100310,Mike,Myburg,R,19530623,RSA
107590,Luis,Borfiga,R,19541029,MON
100351,Freddie,De Jesus,R,19541030,PUR
100089,Patrice,Beust,R,19440903,FRA
107129,Graydon,Garner,R,,RSA
100477,Gianni,Ocleppo,R,19570406,ITA
108141,Rocky,Vasquez,R,,USA
107815,Mike,Styles,R,,RSA
100442,Gianni,Marchetti,R,19560708,ITA
108133,Roberto,Lombardi,R,,ITA
106567,Antonio,Domenech,R,,ESP
100189,Dale,Power,R,19491002,CAN
100429,Miguel,Mir,R,19560418,ESP
107235,Ionel,Santeiu,R,,ROU
107394,John,Peckskamp,R,,USA
106797,Cyril,Rudman,R,,RSA
107072,Gene,Russo,R,,USA
107167,Hans,Goransson,R,,SWE
100414,Gunther,Gnettner,R,19560112,GER
107334,Jerry,Van Linge,R,,USA
100108,Chris,Bovett,R,19451225,GBR
100002,Pancho,Segura,R,19210620,ECU
106627,Bill,Shivar,R,,USA
100294,Rejean,Genois,R,19521230,CAN
108250,Shanker,Krishnan,R,,IND
107140,Greg,Perkins,R,,AUS
108130,Roberto,Carruthers,R,,ARG
107391,John,Muller,R,,RSA
100440,Eddie,Edwards,R,19560703,RSA
107038,Frank,Salazar,R,,USA
106828,Dave,Kanter,R,,USA
100213,Fred,Hemmes,U,19500614,NED
106438,A,Uehara,R,,JPN
100416,Bill,Maze,R,19560209,USA
106634,Bob,Brien,R,,USA
106697,Carlos,Feldstedt,R,,CHI
100166,Gene Stuart,Malin,R,19481001,USA
100369,Herve,Gauvain,R,19550304,FRA
100014,Trevor,Fancutt,R,19340714,RSA
107374,John,Antonas,R,,BAH
108376,Thierry,Quintin,R,,ARG
107132,Greg,Braun,R,,AUS
107398,John,Trickey,R,,AUS
100374,Javier,Soler,L,19550325,ESP
101956,Mark,Knowles,R,19710904,BAH
108115,Robert,Lamarche,R,,USA
108568,Yuksel,Yenilmez,R,,TUR
100430,David,Carter,R,19560421,AUS
100392,Richard,Meyer,R,19550904,USA
100452,Bill,Scanlon,R,19561113,USA
100380,Butch,Walts,R,19550604,USA
100253,Tom,Gullikson,L,19510908,USA
100322,Emilio,Montano,R,19531218,MEX
100434,Tomas,Smid,R,19560520,CZE
100293,John,Marks,R,19521209,AUS
100290,Timothy,Noonan,R,19521031,USA
100313,Keith,Richardson,R,19530818,USA
100551,Brad,Drewett,L,19580719,AUS
100388,Peter,Pearson,R,19550812,USA
106641,Bobby,Webb,R,,USA
100316,Scott,Carnahan,R,19531024,USA
100421,Jan,Norback,R,19560306,SWE
100577,Rory,Chappell,R,19590113,RSA
100475,Matt,Mitchell,R,19570316,USA
106945,Enrique,Caviglia,R,,ARG
107728,Massimo,Di Domenico,R,,ITA
106962,Ernesto,Vazquez,R,,ESP
100483,Christophe,Casa,R,19570530,FRA
100586,Eliot,Teltscher,R,19590315,USA
108304,Stephen,Myers,R,,AUS
100406,Greg,Halder,R,19551205,CAN
100407,Dale,Collings,R,19551216,AUS
100498,Klaus,Eberhard,R,19570915,GER
107463,Juan,Torralbo,R,,ESP
100581,John,Mcenroe,L,19590216,USA
100486,Christophe Roger,Vasselin,R,19570708,FRA
100248,Max,Hurlimann,R,19510730,SUI
108045,Randall,King,R,,HKG
100314,Bernard,Fritz,R,19531005,FRA
100164,Bill,Lofgren,R,19480731,USA
100259,Peter,Feigl,R,19511130,AUT
100386,Jose,Garcia G003,R,19550723,ESP
107362,Joel,Ross,R,,USA
106922,Eduardo,Gorostagia,R,,BOL
100400,Hubertus,Hoyt,R,19551103,USA
108053,Ray,Kelly,R,,AUS
100451,Tony,Graham,R,19561029,USA
100667,Per,Hjertquist,R,19600406,SWE
100435,Regis,Brunet,R,19560531,FRA
107078,George,Rudman,R,,RSA
107180,Harvey,Spiegel,R,,USA
108459,Vadim,Borisov,R,,RUS
108315,Steve,Mott,R,,USA
106615,Bernard,Balleret,R,,MON
107875,Octavio,Martinez,R,,MEX
100224,Peter,Campbell,R,19501110,AUS
107009,Fernando,Vasquez,R,,ESP
100318,Roger,Guedes,R,19531103,BRA
107215,Hugo,Varela,R,,ARG
100468,Dominique,Bedel,R,19570220,FRA
106721,Chetan,Desai,R,,IND
100543,Peter,Elter,R,19580610,GER
108362,Terje,Larsen,L,,SWE
108368,Tetsu,Kuramitsu,R,,JPN
107893,Omar,Laimina,R,,MAR
107549,Lars,Samuelson,R,,SWE
107298,Javier,Restrepo,R,,COL
107454,Juan,Diaz,R,,USA
100535,Tony,Giammalva,R,19580421,USA
100673,Robbie,Venter,L,19600507,RSA
100408,Gary,Plock,R,19551221,USA
108533,Wouter,Fok,R,,NED
100446,John,Sadri,R,19560919,USA
107109,Glenn,Busby,R,,AUS
100503,Lorenzo,Fargas,R,19571019,ESP
100323,Givaldo,Barbosa,R,19540125,BRA
100470,Juan Carlos,Andrade,R,19570222,ESP
100241,Joel,Bailey,R,19510425,USA
107427,Jose,Schmidt,R,,BRA
107541,Larry,Collins,R,,USA
100984,Peter,Wright,R,19631208,USA
101298,Jonas,Svensson,R,19661021,SWE
106505,Ali,Madani,R,,IRI
108547,Yair,Werthimer,R,,ISR
100631,Tim,Wilkison,L,19591123,USA
101070,Ed,Nagel,R,19640926,USA
107954,Paul,Van Min,R,,NED
108326,Steven,Wright,R,,AUS
108214,Scott,Clark,R,,NZL
108026,R,Kiesling,R,,USA
101201,Danny,Granot,R,19651111,USA
100526,Ricardo,Ycaza,R,19580216,ECU
100397,Terry,Rocavert,R,19551021,AUS
100443,Christophe,Freyss,L,19560830,FRA
100285,Rod,Frawley,R,19520908,AUS
100557,Jai,Dilouie,R,19580911,USA
100605,Charlie,Fancutt,R,19590617,AUS
100492,John,Austin,R,19570731,USA
100348,Gerard,Toulon,R,19540924,FRA
107357,Joe,Meyers,R,,USA
100522,Chris,Dunk,R,19580123,USA
100473,Glenn,Petrovic,R,19570303,USA
100579,Heinz,Gunthardt,R,19590208,SUI
100525,Gilles,Moretton,R,19580210,FRA
100464,Warren,Maher,R,19570115,AUS
100373,Christopher,Sylvan,R,19550318,USA
100207,Noel,Phillips,R,19500328,AUS
100449,Stanislav,Birner,R,19561011,CZE
100448,Bruce,Foxworth,R,19560925,USA
100131,Guillermo,Oropez,R,19470207,USA
100507,Curt,Stalder,R,19571120,USA
100536,Fernando,Luna,R,19580424,ESP
100341,Gonzalo,Nunez,R,19540721,USA
107279,Jan,Simbera,R,,CZE
108494,Walter,Redondo,R,,USA
100481,Roberto,Vizcaino,R,19570425,ESP
100230,Welry,Fritz,R,19510219,CAN
100496,Charles Buzz,Strode,R,19570905,USA
106651,Brad,Rowe,R,,USA
100353,Bruce,Kleege,R,19541101,USA
100532,Johan,Kriek,R,19580405,USA
106700,Carlos,Gomez,R,,COL
100555,Jose Luis,Clerc,R,19580816,ARG
100516,Andrew,Jarrett,R,19580109,GBR
100499,Chris,Mayotte,R,19570916,USA
100209,George,Taylor,R,19500504,USA
100381,Michael,Greenberg,R,19550611,USA
106801,Dale,Ogden,R,,USA
107738,Matt,Wooldridge,R,,USA
100387,Jiri,Prucha,R,19550810,CZE
100561,Peter,Smylie,R,19581011,AUS
100264,Lajos,Levai,R,19520207,YUG
108398,Tim,Clements,R,,AUS
100676,Yannick,Noah,R,19600518,FRA
100335,David,Parker,R,19540607,USA
101681,Chris,Wilkinson,R,19700105,GBR
106877,Dicky,Browne,R,,USA
107119,Gordon,Simmonds,R,,RSA
100987,Tom,Fontana,R,19631219,USA
100355,Victor,Eke,R,19541111,AUS
101585,Fabio,Silberberg,L,19690325,BRA
100439,Mike,Barr,R,19560627,USA
100504,Jerome,Vanier,L,19571102,FRA
107118,Gordon,Jones,R,,USA
100412,Bruce,Nichols,R,19551231,USA
108505,Wayne,Pascoe,R,,AUS
100640,Stefan,Simonsson,R,19600105,SWE
100450,Leo,Palin,R,19561020,FIN
100600,Pascal,Portes,R,19590528,FRA
106637,Bob,Hansen,R,,USA
108451,Tyler,Corse,R,,USA
106883,Dimitru,Haradau,R,,ROU
