,name,address,city,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,clay,wall,grass,indoor,lights,stringing
The Durham,York Avenue South,minneapolis-st. paul,mn,Homeowners Community,3,False,False,False,False,True,False,44,-93.3201778,0,0,0,0,1,0
Village At Lake Park,Wasco Ct Road,atlanta,ga,Homeowners Community,4,False,False,False,False,True,False,33,-84.4909358,0,0,0,0,1,0
Winfield Commons,Kensington Drive,cleveland,oh,Homeowners Community,1,False,False,False,False,False,False,41,-81.9071209,0,0,0,0,0,0
The Village Green,Augusta National Drive,boston,ma,Homeowners Community,2,False,False,False,False,True,False,42,-71.4763105,0,0,0,0,1,0
Dulle Park,Deerfield Road,cincinnati,oh,Public,2,False,False,False,False,False,False,39,-84.3518364,0,0,0,0,0,0
Copper Mill,Copper Ridge Drive,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,True,False,False,True,False,35,-78.9650381,0,1,0,0,1,0
Butterfield Village,North Session Court,memphis,tn,Homeowners Community,1,False,False,False,False,True,False,35,-89.8676813,0,0,0,0,1,0
Apollo Park,YardvilleHamilton Square Road,new york,ny,Public,3,False,False,False,False,False,False,40,-74.6713364,0,0,0,0,0,0
Brielle Park,South Street,new york,ny,Public,3,False,True,False,False,False,False,40,-74.0614665,0,1,0,0,0,0
Links at Rolling Meadows,Saint Andrews Drive,grand rapids,mi,Homeowners Community,2,False,False,False,False,False,False,42,-86.1250019,0,0,0,0,0,0
Gardner Park,East Street,indianapolis,in,Public,2,False,False,False,False,False,False,39,-86.048566,0,0,0,0,0,0
Ralph B. Clark Regional Park,Rosecrans Avenue,los angeles,ca,Public,4,False,False,False,False,True,False,33,-117.9802895,0,0,0,0,1,0
Montanoso Recreation and Fitness Center,Montanoso Drive,los angeles,ca,Public,2,False,True,False,False,True,False,33,-117.66366,0,1,0,0,1,0
Riverside High School,Park Avenue,philadelphia,pa,Public,2,False,False,False,False,False,False,40,-74.953869,0,0,0,0,0,0
Rancho San Antonio County Park,Rancho San Antonio Bike Path,san francisco - oakland - san jose,ca,Public,4,False,True,False,False,False,False,37,-122.0912147,0,1,0,0,0,0
Eagledale Park,Rose Avenue Northeast,seattle,wa,Public,1,False,True,False,False,False,False,47,-122.5215483,0,1,0,0,0,0
Miramonte High School,Moraga Way,san francisco - oakland - san jose,ca,Public,6,False,True,False,False,False,False,37,-122.1452451,0,1,0,0,0,0
Heron Point,North Valentine Avenue,fresno,ca,Homeowners Community,1,True,False,False,False,True,False,36,-119.852246,1,0,0,0,1,0
Palmer Park,Avenue,pittsburgh,pa,Public,2,False,False,False,False,True,False,40,-79.869009,0,0,0,0,1,0
Whispertree,Seamist Drive,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,True,False,29,-95.43632,0,0,0,0,1,0
Lone Pine Park,Canterbury Drive West,west palm beach - boca raton,fl,Public,1,False,False,False,False,False,False,26,-80.1153839,0,0,0,0,0,0
Pascack Brook County Park,Palisade Avenue,new york,ny,Public,3,False,False,False,False,False,False,40,-74.010558,0,0,0,0,0,0
Royale Bermuda,Barcelona Drive,orlando,fl,Homeowners Community,1,False,False,False,False,False,False,28,-81.4155042,0,0,0,0,0,0
Bowie High School,West Slaughter Lane,austin-san marcos,tx,Public,8,False,True,False,False,False,False,30,-97.8585184,0,1,0,0,0,0
Woodcreek Village,Town House Circle,austin-san marcos,tx,Homeowners Community,2,False,False,False,False,False,False,30,-98.1156564,0,0,0,0,0,0
Cedarbrook Middle School,Rock Creek Drive,philadelphia,pa,Public,6,False,False,False,False,False,False,40,-75.158779,0,0,0,0,0,0
Pequannock Township High School,South Sunset Lane,new york,ny,Public,4,False,False,False,False,False,False,40,-74.308079,0,0,0,0,0,0
Brook Park,East Street,chicago,il,Public,4,False,False,False,False,False,False,41,-87.910859,0,0,0,0,0,0
Camden Deerfield,Deer Point Court,atlanta,ga,Homeowners Community,1,False,False,False,False,True,False,34,-84.2668641,0,0,0,0,1,0
Cromwell Hills Condominium,Pine Court,new york,ny,Homeowners Community,2,False,False,False,False,False,False,41,-72.6849568,0,0,0,0,0,0
Avonlea Crossing,Maple Terrace Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,34,-84.0403461,0,0,0,0,1,0
Lake Bluff Elementary School,North Morris Boulevard,milwaukee,wi,Public,2,False,True,False,False,False,False,43,-87.891891,0,1,0,0,0,0
Charleston Greene,West King Road,philadelphia,pa,Homeowners Community,1,False,False,False,False,False,False,40,-75.5271542,0,0,0,0,0,0
Champion's Run,James Burgess Road,atlanta,ga,Homeowners Community,4,False,False,False,False,True,False,34,-84.1233122,0,0,0,0,1,0
Thelma G. Spencer Park,Enfield Road,detroit,mi,Public,2,False,True,False,False,False,False,42,-83.1078118,0,1,0,0,0,0
Harbor Pointe,Harbor Pointe Parkway,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.3702257,0,0,0,0,1,0
Hidden Lake,Morgan Road,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.5178437,0,0,0,0,1,0
Barry Park,Ainsworth Place,boston,ma,Public,1,False,False,False,False,False,False,42,-70.9747803,0,0,0,0,0,0
Harford Community College,Thomas Run Road,baltimore,md,Public,8,False,False,False,False,True,False,39,-76.2852645,0,0,0,0,1,0
Atfalati Park,Southwest Sagert Street,portland,or,Public,2,False,True,False,False,False,False,45,-122.7455664,0,1,0,0,0,0
The Forum Apartments & Health Club,Martin Luther King Drive West,cincinnati,oh,Homeowners Community,1,False,False,False,False,False,False,39,-84.5298171,0,0,0,0,0,0
Crossroads Apartments,Marigold Drive,chicago,il,Homeowners Community,1,False,False,False,False,False,False,41,-87.555517,0,0,0,0,0,0
Fairmoore Park,North Telephone Road,oklahoma city,ok,Public,4,False,False,False,False,False,False,35,-97.4951541,0,0,0,0,0,0
Cheever Park,North Elmer Street,chicago,il,Public,2,False,False,False,False,False,False,41,-87.421133,0,0,0,0,0,0
Bluffs,Burning Tree Road,los angeles,ca,Homeowners Community,2,False,False,False,False,False,False,33,-117.9738522,0,0,0,0,0,0
Beach Cove Apartments,Catamaran Street,san francisco - oakland - san jose,ca,Homeowners Community,1,False,False,False,False,True,False,37,-122.2585094,0,0,0,0,1,0
Rock Island Park,Southwest Avenue,miami-fort lauderdale,fl,Public,2,False,False,False,False,False,False,26,-80.2202153,0,0,0,0,0,0
Sunpointe Springs,Northwest Place,miami-fort lauderdale,fl,Homeowners Community,1,False,True,False,False,True,False,26,-80.2547622,0,1,0,0,1,0
Granville,Granville Drive,miami-fort lauderdale,fl,Homeowners Community,1,False,True,False,False,True,False,26,-80.2918625,0,1,0,0,1,0
Berkner High School,East Spring Valley Road,dallas - fort worth,tx,Public,8,False,False,False,False,False,False,32,-96.6925943,0,0,0,0,0,0
The Harvest,Southwest Avenue,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,False,False,26,-80.2634096,0,0,0,0,0,0
Cottonwood Park,South Cottonwood Drive,dallas - fort worth,tx,Public,2,False,True,False,False,True,False,32,-96.7649925,0,1,0,0,1,0
Cottonwood Homeowners Association,Cottonwood Drive,nashville,tn,Homeowners Community,2,False,False,False,False,True,False,35,-86.9138718,0,0,0,0,1,0
Hammond Park,Glenridge Drive Northeast,atlanta,ga,Public,4,False,True,False,False,True,False,33,-84.3622971,0,1,0,0,1,0
Palm Trace Landings,Palm Trace Court,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.2281761,0,0,0,0,1,0
Glenshire East,Abbeydale Drive,houston - galveston - brazoria,tx,Homeowners Community,2,False,True,False,False,True,False,29,-95.5392766,0,1,0,0,1,0
The Isles,Victoria Falls Boulevard,west palm beach - boca raton,fl,Homeowners Community,4,False,False,False,False,True,False,26,-80.1009107,0,0,0,0,1,0
Jade at Tampa Palms,Carrington Park Drive,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.3816547,0,0,0,0,1,0
Goldenrod Park,Cady Way Trail,orlando,fl,Public,1,False,False,False,False,False,False,28,-81.2829816,0,0,0,0,0,0
Riverside School,Eller Road,indianapolis,in,Public,6,False,True,False,False,False,False,39,-86.06315,0,1,0,0,0,0
A.J. Olson,Tappan Street,chicago,il,Public,2,False,False,False,False,False,False,42,-88.447612,0,0,0,0,0,0
Oakwood Park,Oakwood Road,new york,ny,Public,4,False,False,False,False,False,False,40,-73.429462,0,0,0,0,0,0
Hapeville Park,Scout Street,atlanta,ga,Public,2,False,False,False,False,True,False,33,-84.405148,0,0,0,0,1,0
Mozley Park,Lionel Hampton Trail,atlanta,ga,Public,2,False,True,False,False,True,False,33,-84.4392657,0,1,0,0,1,0
Keyport High School,Jackson Street,new york,ny,Public,2,False,False,False,False,False,False,40,-74.1965747,0,0,0,0,0,0
Yardley Crossing,Kathy Drive,philadelphia,pa,Homeowners Community,2,False,False,False,False,False,False,40,-74.8272479,0,0,0,0,0,0
Central Middle School,Adams Street,detroit,mi,Public,6,False,False,False,False,False,False,42,-83.4678233,0,0,0,0,0,0
Berkshire At Sugarloaf,Berkshire Eve Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,34,-84.0914798,0,0,0,0,1,0
Park Pointe North,Flowers Road South,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.2562425,0,0,0,0,1,0
Lakeshore Park,North Lakeshore Drive,atlanta,ga,Public,6,False,False,False,False,False,False,33,-85.0587916,0,0,0,0,0,0
The Mews at Princeton Junction,Stillbrook Lane,new york,ny,Homeowners Community,1,False,False,False,False,True,False,40,-74.6450937,0,0,0,0,1,0
Stonebridge Apartments,Stonebridge Boulevard,wilmington-newark,de,Homeowners Community,1,False,False,False,False,False,False,39,-75.6233382,0,0,0,0,0,0
High View at Hunt Valley,Symphony Circle,baltimore,md,Homeowners Community,2,False,False,False,False,True,False,39,-76.6617286,0,0,0,0,1,0
Camelot East,Camelot Drive,cincinnati,oh,Homeowners Community,2,False,False,False,False,False,False,39,-84.5324028,0,0,0,0,0,0
Gettysburg Square,DevilDen,cincinnati,oh,Homeowners Community,1,False,True,False,False,False,False,39,-84.4648755,0,1,0,0,0,0
Lofts at the Mills,Forest Street,hartford,ct,Homeowners Community,1,False,False,False,False,False,False,41,-72.5275218,0,0,0,0,0,0
Joseph A. Edgar School,Highway,new york,ny,Public,4,False,False,False,False,False,False,40,-72.9340589,0,0,0,0,0,0
Players Club Apartments,Tournament Drive,raleigh-durham-chapel hill,nc,Homeowners Community,2,False,False,False,False,True,False,35,-78.7154961,0,0,0,0,1,0
Auburndale Park,Southside Drive,louisville,ky,Public,4,False,False,False,False,False,False,38,-85.771476,0,0,0,0,0,0
Winnetonka High School,North Topping Avenue,kansas city,mo,Public,8,False,False,False,False,False,False,39,-94.5115614,0,0,0,0,0,0
Diamond Ranch High School,Diamond Ranch Road,los angeles,ca,Public,9,False,False,False,False,False,False,34,-117.7752829,0,0,0,0,0,0
Grayhawk,North Way,phoenix,az,Homeowners Community,1,False,False,False,False,True,False,33,-111.9084442,0,0,0,0,1,0
Rancho Mirage Mobile Home Park,South Goldfield Road,phoenix,az,Homeowners Community,2,False,False,False,False,True,False,33,-111.517303,0,0,0,0,1,0
Autumn Oaks,Autumn Lake Boulevard,tampa-st. petersburg-clearwater,fl,Homeowners Community,2,False,False,False,False,True,False,28,-82.5837994,0,0,0,0,1,0
Jonathan Hartman Park,Avenue Northeast,seattle,wa,Public,2,False,False,False,False,False,False,47,-122.105881,0,0,0,0,0,0
Lea Hill Park,Avenue Southeast,seattle,wa,Public,2,False,False,False,False,False,False,47,-122.1768415,0,0,0,0,0,0
Fort Yargo State Park,Fort Yargo Road,atlanta,ga,Public,2,False,False,False,False,False,False,33,-83.7346709,0,0,0,0,0,0
Laguna Creek High School,Paso Robles Way,sacramento-yolo,ca,Public,8,False,True,False,False,False,False,38,-121.4298356,0,1,0,0,0,0
Boca Village,Northwest Street,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.108496,0,0,0,0,1,0
Horace Mann Elementary School,Damon Avenue,boston,ma,Public,2,False,False,False,False,False,False,42,-71.0574567,0,0,0,0,0,0
Briarcreek,Edgecreek Drive,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,True,False,29,-95.4667926,0,0,0,0,1,0
Marina Landing Resort Apartments,Avenue P /,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,29,-94.8466766,0,0,0,0,1,0
Normandy Park,Normandy Court,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,False,False,28,-82.3945481,0,0,0,0,0,0
Greens of Town N Country,Dolonita Drive,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.5645411,0,0,0,0,1,0
Samuel W. Wolfson High School,Toledo Ap,jacksonville,fl,Public,6,False,False,False,False,False,False,30,-81.6173029,0,0,0,0,0,0
J. Sargeant Reynolds Community College,Boxwood Place,richmond-petersburg,va,Public,6,False,False,False,False,True,False,37,-77.476927,0,0,0,0,1,0
Bohemia Manor High School,Augustine Herman Highway,wilmington-newark,de,Public,6,False,False,False,False,False,False,39,-75.831627,0,0,0,0,0,0
Mound-Westonka Secondary School,Sunnyfield Road East,minneapolis-st. paul,mn,Public,9,False,False,False,False,False,False,44,-93.673381,0,0,0,0,0,0
Lackman Playground,Bartlett Street,philadelphia,pa,Public,2,False,False,False,False,True,False,40,-75.03337,0,0,0,0,1,0
Barry Street Park,Barry Street,rochester,ny,Public,2,False,False,False,False,False,False,43,-77.931454,0,0,0,0,0,0
Turner Tennis Complex,Winton Street,pittsburgh,pa,Public,6,False,False,False,False,True,False,40,-79.8642,0,0,0,0,1,0
Hoffman Park,South Boston Street,denver,co,Public,1,False,False,False,False,False,False,39,-104.88017,0,0,0,0,0,0
Evans Town Park,Mergenhagen Road,buffalo-niagara falls,ny,Public,2,False,False,False,False,False,False,42,-79.065266,0,0,0,0,0,0
Taylor Park,North Elmwood Avenue,chicago,il,Public,6,False,False,False,False,True,False,41,-87.786276,0,0,0,0,1,0
Kingswood Condominiums,Selena Drive,nashville,tn,Homeowners Community,1,False,False,False,False,False,False,36,-86.7323935,0,0,0,0,0,0
Stephen R. Mirota Senior Residences,Tavern Lane,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.7829592,0,0,0,0,0,0
Theodore Gathings School,Home Street,new york,ny,Public,4,False,False,False,False,False,False,40,-73.8999975,0,0,0,0,0,0
Coachman Trails Apartments,Peony Lane North,minneapolis-st. paul,mn,Homeowners Community,2,False,True,False,False,False,False,44,-93.5066986,0,1,0,0,0,0
Fordham Green Apartments,Fordham Circle,detroit,mi,Homeowners Community,1,False,False,False,False,False,False,42,-83.4668255,0,0,0,0,0,0
Dozier Recreation Center,Palmer Street,detroit,mi,Public,4,False,True,False,False,False,False,42,-83.3271039,0,1,0,0,0,0
Assabet Valley Regional Technical School,Bolton Street,boston,ma,Public,6,False,False,False,False,False,False,42,-71.5647268,0,0,0,0,0,0
Tinsley Mill,Northlake Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,False,False,33,-84.5809186,0,0,0,0,0,0
Lafayette Shores,Norway Place,norfolk-virginia beach,va,Homeowners Community,2,False,False,False,False,True,False,36,-76.2671328,0,0,0,0,1,0
Community Park,Vadala Road,new york,ny,Public,4,False,False,False,False,False,False,41,-74.272449,0,0,0,0,0,0
Stonebridge Crossing,Morning Lake Drive,memphis,tn,Homeowners Community,1,False,False,False,False,False,False,35,-89.7585154,0,0,0,0,0,0
Avera Place at Briar Creek,Huntscroft Lane,raleigh-durham-chapel hill,nc,Homeowners Community,2,False,False,False,False,True,False,35,-78.7982905,0,0,0,0,1,0
Crestwood Elementary School,East State Highway,louisville,ky,Public,4,False,True,False,False,True,False,38,-85.4676569,0,1,0,0,1,0
Central Park,Irquois Way,albany,ny,Public,3,False,False,False,False,False,False,42,-73.9112306,0,0,0,0,0,0
Lexington Park Apartments,Dierker Road,columbus,oh,Homeowners Community,1,False,False,False,False,True,False,40,-83.0760169,0,0,0,0,1,0
La Carretera Park,Street,los angeles,ca,Public,1,False,False,False,False,True,False,33,-118.3149326,0,0,0,0,1,0
Westminster High School,Hazard Avenue,los angeles,ca,Public,8,False,False,False,False,True,False,33,-118.0106413,0,0,0,0,1,0
Indian Springs Village,South Stewart,phoenix,az,Homeowners Community,1,False,False,False,False,True,False,33,-111.859113,0,0,0,0,1,0
Val Vista Village,North Fiesta Travel Trailer Park,phoenix,az,Homeowners Community,4,False,True,False,False,True,False,33,-111.7495608,0,1,0,0,1,0
Monterey Oaks Mobile Home Park,Monterey Circle,san francisco - oakland - san jose,ca,Homeowners Community,1,False,False,False,False,False,False,37,-121.7684162,0,0,0,0,0,0
Indian Summer Village,West Park Drive,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,25,-80.3651297,0,0,0,0,1,0
Paul Laurence Dunbar High School,Ramey Avenue,dallas - fort worth,tx,Public,6,False,False,False,False,False,False,32,-97.2328985,0,0,0,0,0,0
Pinebrook Pointe,Pinewalk Drive North,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.2286375,0,0,0,0,1,0
Carrollton Oaks,Guerrero Drive,dallas - fort worth,tx,Homeowners Community,1,False,False,False,False,True,False,32,-96.8781388,0,0,0,0,1,0
Jacaranda Village at Plantation,Northwest Road,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,26,-80.2662528,0,0,0,0,1,0
Lowery Freshman Center,East Main Street,dallas - fort worth,tx,Public,6,False,False,False,False,True,False,33,-96.6570818,0,0,0,0,1,0
Gessport Fondren Southwest,North Rachlin Circle,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,29,-95.5302268,0,0,0,0,1,0
Camden Bayside,Lookout Pointe Apartments Circle,tampa-st. petersburg-clearwater,fl,Homeowners Community,2,False,False,False,False,True,False,27,-82.5275588,0,0,0,0,1,0
Thomas E. Weightman Middle School,Wells Road,tampa-st. petersburg-clearwater,fl,Public,4,False,False,False,False,False,False,28,-82.3082399,0,0,0,0,0,0
Boca Tierra Park,Northwest Street,west palm beach - boca raton,fl,Public,2,False,False,False,False,False,False,26,-80.1397061,0,0,0,0,0,0
Arbors of Austin,Quail Boulevard,austin-san marcos,tx,Homeowners Community,1,False,False,False,False,True,False,30,-97.6991415,0,0,0,0,1,0
James River High School,Riverton Ridge Drive,richmond-petersburg,va,Public,6,False,True,False,False,False,False,37,-77.648212,0,1,0,0,0,0
Alexandria-Monroe High School,Meadow Lane,indianapolis,in,Public,5,False,False,False,False,True,False,40,-85.678317,0,0,0,0,1,0
Haddam-Killingworth High School,Little City Road,new york,ny,Public,8,False,False,False,False,False,False,41,-72.563415,0,0,0,0,0,0
Jackson Memorial High School,Don Connor Boulevard,new york,ny,Public,6,False,True,False,False,True,False,40,-74.343527,0,1,0,0,1,0
Thornwilde,Rivermeade Drive,cincinnati,oh,Homeowners Community,2,False,True,False,False,False,False,39,-84.7371304,0,1,0,0,0,0
Oak Forest High School,Long Avenue,chicago,il,Public,6,False,False,False,False,False,False,41,-87.752319,0,0,0,0,0,0
The Village Green,North Fairway Drive,milwaukee,wi,Public,3,False,False,False,False,False,False,42,-87.767779,0,0,0,0,0,0
Hampton in Highland,Prairie Avenue,chicago,il,Homeowners Community,2,False,True,False,False,True,False,41,-87.474772,0,1,0,0,1,0
Independence Park,New York State Reference Route,new york,ny,Public,4,False,True,False,False,True,False,41,-73.9572358,0,1,0,0,1,0
Glenbrooke at Bridgewater,Patterson Street,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.6718299,0,0,0,0,0,0
Ben Hill Strickland Park,Hiram Douglasville Highway,atlanta,ga,Public,2,False,False,False,False,True,False,33,-84.7608733,0,0,0,0,1,0
Heritage Oaks,Marshstone Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.6356571,0,0,0,0,1,0
Telford Municipal Park,East Church Road,philadelphia,pa,Public,2,False,False,False,False,True,False,40,-75.3316534,0,0,0,0,1,0
"Sandymount Park,",Old Westminster Pike,baltimore,md,Public,2,False,False,False,False,False,False,39,-76.9163346,0,0,0,0,0,0
Cowls Street Tennis Courts,Northeast Street,portland,or,Public,4,False,False,False,False,True,False,45,-123.1961775,0,0,0,0,1,0
Colonial Drive Condominium,Colonial Drive,boston,ma,Homeowners Community,2,False,False,False,False,False,False,42,-71.1190617,0,0,0,0,0,0
Cumberland High School Wellness Center,Mendon Road,providence,ri,Public,4,False,False,False,False,False,False,41,-71.4443064,0,0,0,0,0,0
Jones Magnet Middle School,Nickerson Boulevard,norfolk-virginia beach,va,Public,4,False,False,False,False,False,False,37,-76.3085675,0,0,0,0,0,0
Stonewood,Horton Road,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,False,False,False,False,False,36,-78.9071882,0,0,0,0,0,0
Arbolino Park,Koclas Drive,new york,ny,Public,2,False,False,False,False,True,False,40,-74.6933091,0,0,0,0,1,0
Bainbridge in the Park,Bainbridge Drive,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,False,False,False,True,False,35,-78.8986373,0,0,0,0,1,0
Bridge Pointe,Chimney Court,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.2461419,0,0,0,0,0,0
Westland High School,Westwoods Boulevard,columbus,oh,Public,8,False,False,False,False,False,False,39,-83.1485224,0,0,0,0,0,0
Schafer Park,Hoech Trail,st. louis,mo,Public,1,False,False,False,False,False,False,38,-90.3794575,0,0,0,0,0,0
